,f,P,amp,ph,T0,offset,e_amp,e_ph,e_T0,e_offset,e_f,e_P,pmax
TOI4480_SECTORNone,0.1789808074775375,5.587191241862633,0.0006136680139234,0.4252212984469331,2417.616856269664,1.0000015626811611,2.041687919333787e-05,0.0052951223990881,0.0295848614927757,1.4436913728275738e-05,0.0009360806144622,0.0292213533088301,0.0443986577746289
TOI1200_SECTORNone,0.5999998405892082,1.666667109474539,0.0003836384668448,-0.2286340500936327,2391.032774823902,1.0000043040766218,1.2735730786226972e-05,0.0052835017436745,0.0088058385790337,9.005521602307373e-06,0.0009565687104379,0.0026571367186928,0.044264437420564
TOI0632_SECTORNone,0.1896690513707845,5.272341443017486,0.0009424215889779,0.3724647969640507,1323.331088506862,0.9999924284854756,3.259349161561407e-05,0.0055043468485001,0.0290207960060901,2.304707894394759e-05,0.0009525372125231,0.0264782334561506,0.0441896929713807
TOI1114_SECTORNone,0.8033282823319581,1.2448211048876925,0.0002073928582817,-0.4669919683734145,1654.5055264576397,1.0000169072791811,6.941869181397288e-06,0.0053272460955018,0.0066314683706112,4.908642772275929e-06,0.0008675751965259,0.0013443768114046,0.0440501072804243
TOI0299_SECTORNone,0.1335196505859968,7.48953427912039,0.0012343531732603,-0.144195516557653,2089.323682340266,1.000036565042224,4.6856763088068754e-05,0.0060416140406997,0.0452488754590357,3.313273492402493e-05,0.0020648863932391,0.1158259279198253,0.044016134079345
TOI1297_SECTORNone,0.1902638628527238,5.255858811055796,0.0004316351150065,0.0397158417822095,2419.77849683156,1.0000445752086142,1.5304877814643566e-05,0.0056433011887395,0.0296603942762785,1.0822182887966016e-05,0.0011294085995181,0.0311988417036105,0.0439656209499948
TOI1661_SECTORNone,0.3977653669827704,2.5140449194595567,0.0004733143923031,0.3173023691371911,2473.374818521951,1.0000225442928128,1.7455610293749142e-05,0.0058695588135771,0.0147563345147427,1.234298040845972e-05,0.0010685464836847,0.0067536645507659,0.0438753984312836
TOI1952_SECTORNone,0.1973927815818796,5.066041381990426,0.0004655191439513,-0.2648845937965276,2335.198830539311,1.000051225403773,1.5873139083289968e-05,0.0054268198855317,0.0274924941127124,1.1224004284511554e-05,0.0010052446221039,0.0257993773317863,0.0437948340130245
TOI1147_SECTORNone,0.1602832493995187,6.238955123173356,0.000147335373604,0.092685773346524,2390.0736397482897,1.0000060195182563,4.952363017863539e-06,0.0053496525308088,0.0333762420642874,3.5018494728287844e-06,0.0007250442442377,0.0282220289335347,0.0433489056766974
TOI0240_SECTORNone,0.1766262192433691,5.661673585517466,0.0004366788037331,0.1847921306656723,1353.065820555078,1.0000061410560108,1.5334590922492114e-05,0.0055889498751533,0.0316428098789367,1.084319322801585e-05,0.0010168180034493,0.0325936412842279,0.0433082357710747
